Artist,Date,Venue,Borough,Free show?,Notes
The English Beat,2022,Le Poisson Rouge,Manhattan,FALSE,
Antonio Lizano,2022,Terraza 7,Queens,FALSE,
Chicano Batman,2022,Prospect Park Bandshell,Brooklyn,TRUE,
Los Campesinos!,2022,Elsewhere,Brooklyn,FALSE,
Yeah Yeah Yeahs,2022,Forest Hills Stadium,Queens,FALSE,
Crywank,2022,Brooklyn Monarch?,Brooklyn,FALSE,
Surf Curse,2022,,,FALSE,
Broken Social Scene,2022,,,FALSE,Meryl Streep came on stage
De La Soul,2023,Barclays Center,Brooklyn,FALSE,
Wu Tang Clan,2023,Barclays Center,Brooklyn,FALSE,
Nas,2023,Barclays Center,Brooklyn,FALSE,
Fishbone,2023,,New Jersey,TRUE,
Parliament-Funkadelic,2023,,New Jersey,FALSE,
Oumou Sangare,2023,,,,
Fatoumata Diawara,2023,,,,
Blink-182,2023,Barclays Center,Brooklyn,TRUE,
Herbie Hancock,2023,Central Park Summerstage,,FALSE,Technically I didnt get in
Daniel Villarreal,,,,TRUE,
,,,,,
Gilles Peterson,,,,FALSE,
Irreversible Entanglements,,Lincoln Center,,FALSE,
Irreversible Entanglements,,,,FALSE,
Arooj Aftab & Vijay Iyer & Shazhad Ismaily,,,Princeton University,FALSE,
Arooj Aftab & Vijay Iyer,,,,TRUE,
Ganavya,,Joe's Pub,Manhattan,FALSE,
Esperanza Spalding,,Le Poisson Rouge,,FALSE,
Shabaka Hutchings,,Le Poisson Rouge,,FALSE,
The Comet Is Coming,,Central Park Summerstage,,TRUE,
Celeste,,Central Park Summerstage,,TRUE,
Ibeyi,,Central Park Summerstage,,TRUE,
Colin Stetson,,Greenwood Cemetery,,FALSE,
,,,,,
Ibellise Guardia Ferragutti & Frank Rosaly,,Public Records,Brooklyn,FALSE,
Atmosphere,,Brooklyn Bowl,Brooklyn,FALSE,
Sage Francis,,Brooklyn Bowl,Brooklyn,FALSE,
Ganavya,2025,Big Ears 2025,,TRUE,
Jeremiah Chu,,,,FALSE,
,,,,,
Fishbone,,,,FALSE,
Son Rompe Pera,,,,TRUE,
,,,,,
The Smiths Cover Band,,,,FALSE,
,,,,,
Los Campesinos!,,Warsaw,,FALSE,
Algernon Cadwallader,,Warsaw,,FALSE,
Algernon Cadwallader,,,,FALSE,
Alkaline Trio,,Knockdown Center,,FALSE,
Drug Church,,Knockdown Center,,FALSE,
Worriers,,Knockdown Center,,FALSE,
Jeff Rosenstock,,Warsaw,,FALSE,
Chris Farren ,,Warsaw,,FALSE,
Strung Out,,Warsaw,,FALSE,
Less Than Jake,,Warsaw,,FALSE,
Brandee Younger,,Lincoln Center,,TRUE,
Berke Can Ozcan,,NuBlu,,FALSE,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Maruja,2025,Big Ears 2025,,TRUE,
Anohni,2025,Big Ears 2025,,TRUE,
Anoushka Shankar,2025,Big Ears 2025,,TRUE,
Streetlight Manifesto,2023,Starlight Ballroom,,FALSE,20th Anniversary Show
Bouncing Souls,2023,,,FALSE,
Screaming Females,2023,,,FALSE,
Bayside,2023,,,FALSE,
,,,,,
,,,,,
The Pharcyde,2024,Herbert Von King Park,Brooklyn,TRUE,
Common ,2024,Herbert Von King Park,Brooklyn,TRUE,
Common,,,,FALSE,
The Reverend ,,,,FALSE,
Carlos Nino,2025,Roulette Intermedium,Brooklyn,FALSE,
Carlos Nino,2025,Big Ears 2025,,TRUE,
Nicole Mitchell,2024,,Manhattan,FALSE,
Aja Monet,2024,Central Park Summerstage,Manhattan,TRUE,
Elephant Gym,2024,Music Hall of Williamsburg,,FALSE,
Makaya McCraven,2022,Central Park Summerstage,,TRUE,
Makaya McCraven,2022,Music Hall of Williamsburg,,FALSE,
Tom Misch,2022,,,FALSE,"got invited, it was boring"
Alabaster DePlume,2023,Elsewhere,,FALSE,
LCD Soundsystem,2022,Brooklyn Steel,Brooklyn,FALSE,
that japanese band,2024,Brooklyn Steel,Brooklyn,FALSE,sound sucked ass
Santigold,2024,,Manhattan,FALSE,
Arthur Verocai,2024,Lincoln Center,Manhattan,TRUE,
Sigur Ros,2022,Kings Theater,Brooklyn,FALSE,
Kokoroko,2023,Le Poisson Rouge,Manhattan,FALSE,
Iron Chic,2023?,Elsewhere,Brooklyn,FALSE,
Ben Lamar Gay,2024,Public Records,Brooklyn,FALSE,
Dana and Alden,2024,Central Park Summerstage,Manhattan,TRUE,Not for me
Ezra Collective,2024,Central Park Summerstage,Manhattan,TRUE,
Brandee Younger,2022,Central Park Summerstage,Manhattan,TRUE,
Regina Spektor,2022?,Carnegie Hall,Manhattan,FALSE,before I witnessed her Zionism
Juggaknots,2024,Rough Trade,Manhattan,TRUE,
Baaba Maal,2024,Rough Trade,Manhattan,TRUE,
Combo Chimbita,2024,Rockefeller Center,Manhattan,TRUE,
Armand Hammer,2024,Rockefeller Center,Manhattan,TRUE,
Cloud Nothings,2024,Rockefeller Center,Manhattan,TRUE,
TV Moms,2025,Hart Bar,Brooklyn,FALSE,
,,,,,
Antarctigo Vespucci,2026,Warsaw,,FALSE,
Busta Rhymes,2026,Hudson Yards,,TRUE,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
